,Route,Route Type,Grading,Area Latitude,Area Longitude,State,Gorge,Area,Crag,Subcrag,Description,URL
169,Center Slab,Boulder,V2,40.48676,-75.21544,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,The Cracked Egg Boulder,"Follow the thin line up the center of the boulder, do not use the crack to climbers left.",https://www.mountainproject.com/route/111438625/center-slab
170,White Top Overhang,Boulder,V1,40.48791,-75.21553,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,White Top Boulder,"Start on a large undercling and high jug, get a high, good foot and follow the crack up using another jug and mantle over the lip.",https://www.mountainproject.com/route/111438656/white-top-overhang
171,Poke,Boulder,V0,40.48479,-75.22121,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Bokow Boulder,"Eady slab problem. Stand start with two sidepulls, then to horizontal seam, then to top",https://www.mountainproject.com/route/121774126/poke
172,Wokob,Boulder,V3,40.48479,-75.22121,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Bokow Boulder,"Start on two crimps left (sidepull/undercling) right (sidepull) at about chest height, get a high foot and slap your left hand up a rightward arching arete with bad feet.",https://www.mountainproject.com/route/111183928/wokob
173,Unknown V3,Boulder,V3,40.48479,-75.22121,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Bokow Boulder,"This is the boulder problem to the left and around the corner of Spined Micrathena. It probably has a name, so please fill it in if you know it.I started with my left hand at the lowest part of the arete and right hand on the obvious crimp. Start with a high foot and figure out how to get to the top. Rifle-esque",https://www.mountainproject.com/route/120700136/unknown-v3
174,Spined Micrathena,Boulder,V4,40.48479,-75.22121,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Bokow Boulder,"Start on large undercling jug with high right foot, power and finesse you way up right to a good slot in the crack and continue to finesse up the crack with insecure feet.",https://www.mountainproject.com/route/111183945/spined-micrathena
175,Bokow,Boulder,V8,40.48479,-75.22121,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Bokow Boulder,"""Start with a flat square hold and climb the prow up and right, finishing up in the dihedral on jugs to a nice top out. An amazing hanging prow feature.""credit to Char for the description as this was taken from the Haycock Guidebook.",https://www.mountainproject.com/route/109552829/bokow
176,The Rocking Chair,Boulder,V3+,40.48657,-75.21615,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,The Rocking Chair,The right arete of the Rocking Chair boulder.Start with your right hand on the arete and your left hand in the notch near the lip. Pull on and trend rightwards up the prominent seam.,https://www.mountainproject.com/route/111779100/the-rocking-chair
177,Rocking Chair Left,Boulder,V5-,40.48657,-75.21615,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,The Rocking Chair,"Start as for the rocking chair (squeezing with left hand in a notch and right hand on the arete), but go left through crimps to a bulbous sloper and top out straight up the left face.",https://www.mountainproject.com/route/119712684/rocking-chair-left
178,Echo Belly,Boulder,V8,40.48657,-75.21615,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,The Rocking Chair,Interesting line (if its dry!)Start the same as Rocking Chair Direct. Sit start on the obvious low ledge on the left side of the boulder. Traverse low across the boulder using the prominent seam. Link in to Rocking Chair on the right arete and follow the seam and top out.,https://www.mountainproject.com/route/111779081/echo-belly
179,Rocking Chair Direct,Boulder,V10,40.48657,-75.21615,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,The Rocking Chair,"Rocking Chair Direct is the left side of the Rocking Chair Boulder. Sit start on the obvious ledge that is low on the left side of the boulder. Work your way through some crimps and slots to the lip. Mantle over the lip and on to the slabby arete above. Top out on interesting seams, crimps, and slopers.",https://www.mountainproject.com/route/111779048/rocking-chair-direct
180,Perpetual Dawn,Boulder,V1-,40.48412,-75.22046,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Little Fluffy Clouds Area,"short, but a good warmup for LFC;- sit start with a good left hand jug, low right hand compression sloper and feet smears- move your hands up into the good seams, eventually throwing right hand up to the amazing pinch jug. Get high feet, lockoff on that pinch, and balance your way up to a shallow seam. Easy top out after braving the less-than-decent fall potential.",https://www.mountainproject.com/route/118902804/perpetual-dawn
181,Little Fluffy Clouds,Boulder,V5,40.48412,-75.22046,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Little Fluffy Clouds Area,"A classic atypical Haycock line following a featured overhanging arete before pulling onto the face and the topout. Sit start utilizing an under cling with feet smearing on the face, climb the jugs and pinches with big moves and turn the lip with a small feet cut move before slapping up for the lip.",https://www.mountainproject.com/route/107954422/little-fluffy-clouds
182,Jug Arete,Boulder,V6,40.48412,-75.22046,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Little Fluffy Clouds Area,"A few different options exist to crimp and slap your way up this one.SDS on the jug at the base of the arete. Using crimps and a sloper, make you way up to another jug about 3/4 of the way up the arete. An easier top out awaits.",https://www.mountainproject.com/route/109586469/jug-arete
183,3 Star,Boulder,V1,40.486,-75.21733,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,3-Star,A Haycock classic highball finger crack.,https://www.mountainproject.com/route/107434852/3-star
184,Dubeck,Boulder,V3,40.48537,-75.21691,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Dubeck,Slap your way up the left arete of the Dubeck boulder.  Start low on a jug and go all the way to the top.,https://www.mountainproject.com/route/108424261/dubeck
185,Beckdu,Boulder,V4-,40.48537,-75.21691,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Dubeck,A typical Haycock diabase route - start using an undercling at the base of the lip and slap your way up the lip then right top out in the center of the boulder,https://www.mountainproject.com/route/107970304/beckdu
186,The Scream,Boulder,V5,40.48537,-75.21691,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Dubeck,Smack in the middle of the Dubeck boulder is this fun yet short problem.Start with a left hand on the lowest part of big sidepull and a right hand on sidepull down and right. Bump the left hand up and fire up and right to the arete. Follow the arete up.,https://www.mountainproject.com/route/109586455/the-scream
187,Happy Herbert,Boulder,V0,40.48465,-75.21986,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Amber Boulders,Start matched on a prominent edge on the right and climb up along the rail.,https://www.mountainproject.com/route/117632584/happy-herbert
188,Project,Boulder,V2,40.48465,-75.21986,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Amber Boulders,"Start with a left side pull and a right rail. Find feet and fire for the top. Looks great but the feet are tricky, probably around V2.",https://www.mountainproject.com/route/117632607/project
189,Amber,Boulder,V5,40.48465,-75.21986,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Amber Boulders,"Climb the sloping rail up and right on the Amber Boulder, to a throw at the top.",https://www.mountainproject.com/route/121796964/amber
190,Soft Serve,Boulder,V0,40.48434,-75.22138,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Bokow Area,Stand start with a large foothold and slopers. Traverse left on crimps avoiding the lip until you reach the swooping arête. Move up with jugs on the arête and top out.,https://www.mountainproject.com/route/118639796/soft-serve
191,Ice Cream,Boulder,V1,40.48554,-75.21754,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Ice Cream Boulder,Sit start. Climb the sharp arete on the right in the photo,https://www.mountainproject.com/route/121767958/ice-cream
192,The Purple Tape,Boulder,V2,40.48554,-75.21754,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Caves Trail,Ice Cream Boulder,"Start with both hands on the undercling, climb the blunt arete on the left in the photo",https://www.mountainproject.com/route/121768018/the-purple-tape
193,Lovers Quarrel,Boulder,V0,40.48864,-75.21924,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock,A big boulder with an obvious west-facing line.,https://www.mountainproject.com/route/119309488/lovers-quarrel
194,Trade Marked,Boulder,V2,40.48864,-75.21924,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock,"A low seam that starts wide on the right then thins up as you traverse left; top out above the 'TM' graffiti and don't dab on the  blocks to the left. Depending on the beef of your hands, may feel harder than the grade.",https://www.mountainproject.com/route/119309455/trade-marked
195,Puff Puff Pass,Boulder,V2,40.48864,-75.21924,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock,An arete line on the south edge of the boulder marked by 'VAPE' graffiti.,https://www.mountainproject.com/route/119309521/puff-puff-pass
196,Mighty Mouse,Boulder,V3,40.48864,-75.21924,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock,Start up on the ramp with solid hand jams in the overhanging crack.  Climb over the roof as the crack gets thinner.  Might seem harder if you cant jam,https://www.mountainproject.com/route/108424271/mighty-mouse
197,Iron Lion,Boulder,V7,40.48864,-75.21924,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock,"Climb arete under Top Rock starting on large blocky rock. highball with pinches, pockets, slopers.",https://www.mountainproject.com/route/107996614/iron-lion
198,Snake In The Eagles Shadow,Boulder,V8,40.48864,-75.21924,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock,"This is the big block just to the right of Iron Lion. Walk into the little corridor that houses Mighty Mouse.This route is the arete just next to the big tree. Start with both hands in the horizontal crack and climb the left arete. When the arete gets close to the tree, youre able to trend rightwards a bit on edges then up to the top.",https://www.mountainproject.com/route/111503205/snake-in-the-eagles-shadow
199,The Never Ending Biscuit,Boulder,V4,40.48932,-75.22037,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,The Never Ending Biscuit,"Using the left arete and the dihedral, make some interesting moves moves up to the top.Although this problem is on the short side, its a v4 in the Top Rocks section worth checking out.",https://www.mountainproject.com/route/109610108/the-never-ending-biscuit
200,R2 D2,Boulder,V1,40.48873,-75.21871,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Hematoma Boulder,"Start in the crack in the back of the cave on the leftside of the little corridor that separates The Wookie and Witch Hazel. Start the same as The Wookie, in the crack at the back of the cave. Work your way up the crack and up on to the overhanging left face and reach around to the slab. Finish straight up.",https://www.mountainproject.com/route/111503450/r2-d2
201,Hematoma,Boulder,V3,40.48873,-75.21871,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Hematoma Boulder,Stand start on jugs and climb seam up the slab.,https://www.mountainproject.com/route/111078191/hematoma
202,Witch Hazel,Boulder,V5,40.48873,-75.21871,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Hematoma Boulder,"Climb into the cave and SDS on the prominent undercling. Work you way up the rail and the right arete until its possible to turn onto the face. Brace yourself for a somewhat tricky and elusive topout.Careful not to dab, this one gets a bit tight.",https://www.mountainproject.com/route/111503359/witch-hazel
203,The Wookie,Boulder,V5+,40.48873,-75.21871,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Hematoma Boulder,In the cave on the right hand side of the small corridor lies the Wookie! Start in the crack at the back of the cave. Traverse leftward across the left overhanging face. Work your way through a heinous gaston and then out to the lip. Round the lip and make your way up the slab.,https://www.mountainproject.com/route/111503429/the-wookie
204,E Honda,Boulder,V5,40.48911,-75.2198,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,The Watchtower Boulders,"If lowball topouts is what youre searching for, then look no further. This odd shaped rock proves that even lowballs can be tricky.SDS on jug on right side and work your way out!",https://www.mountainproject.com/route/111510053/e-honda
205,Lolos,Boulder,V8,40.48911,-75.2198,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,The Watchtower Boulders,"This one doesnt usually see much action, so if youre trying to find it by looking for previously chalked holds, it might be impossible to find. Make sure to bring a brush too, just incase there is some moss buildup.SDS underneath the boulder on prominent crimps. Work your way out and up using compression and more crimps.",https://www.mountainproject.com/route/111510065/lolos
206,V0 Wide Crack,Boulder,V0,40.4887,-75.2195,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,The Broiler Boulder,"Climb the wide vertical crack/flake system (second crack from the right) and top out in the gap. Great introduction to kinda-highball boulders; it's consistently easy movement the whole way up, with solid feet, the occasional hand jam, and a simple top out move. Recommend walking up the backside of the boulder first and locating the hidden jug on the top out.",https://www.mountainproject.com/route/113541752/v0-wide-crack
207,V2 Crack,Boulder,V2,40.4887,-75.2195,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,The Broiler Boulder,"Climb the vertical crack on the right hand side of the downhill face of the boulder. Then follow the diagonal crack up and to the left, and top out in the gap. Walk around to the top and check to make sure the diagonal crack is clean before climbing it, this doesn't see much traffic.",https://www.mountainproject.com/route/113541793/v2-crack
208,The Broiler,Boulder,V2,40.4887,-75.2195,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,The Broiler Boulder,"Starting in the pit located between this boulder and the next one uphill, follow the diagonal crack to a slab below the bulge and top out directly above.",https://www.mountainproject.com/route/113541813/the-broiler
209,Pyramid Crack,Boulder,V0,40.48946,-75.21774,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Pyramid Boulder,Low angle small hands size crack.,https://www.mountainproject.com/route/116221713/pyramid-crack
210,El Sobrante,Boulder,V6,40.48871,-75.21891,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,El Patron,Climb the slopey arete to the top.,https://www.mountainproject.com/route/120235590/el-sobrante
211,El Patron,Boulder,V7,40.48871,-75.21891,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,El Patron,"Start with left hand at the bottom of the arete where it changes angles and right hand on the low sidepull crimp on the face. Climb up the arching arete with bad feet, small crimps, and amazing slopers. Be prepared to go all in on the top out. Instant classic!",https://www.mountainproject.com/route/120214333/el-patron
212,Head,Boulder,V0-,40.49143,-75.21129,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock Approach Boulders,SDS with opposing sidepulls on the right arête. Climb the arête and test your head game at the peak.,https://www.mountainproject.com/route/120920248/head
213,Toes,Boulder,V0,40.49143,-75.21129,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock Approach Boulders,SDS matched on the large undercling jug. Traverse the lip and top out at the peak. Gotta trust your toes on those smears.,https://www.mountainproject.com/route/120920346/toes
214,Shoulders,Boulder,V1,40.49143,-75.21129,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock Approach Boulders,SDS with left undercling and right sidepull. Climb the crimpy face to a large dish then make a shouldery move to the top.,https://www.mountainproject.com/route/120920269/shoulders
215,Knees,Boulder,V1,40.49143,-75.21129,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Top Rock Area,Top Rock Approach Boulders,SDS with opposing sidepulls on the right arête. Traverse the face to gain the far left lip and finish up the left arête. No knees!,https://www.mountainproject.com/route/120920311/knees
216,Propecia,Boulder,V0+,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Climb the overhanging face.  The boulder at the base is on.,https://www.mountainproject.com/route/108409975/propecia
217,The Plug,Boulder,V1,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),"SDS on a low rail with tiny feet, move up and left to a small vertical slot, hand foot match the rail, than follow jugs to top out. A bit of a one move wonder.Variation: Hugo Long - V4, Dyno from start hold to top out jug",https://www.mountainproject.com/route/107573269/the-plug
218,Viagra,Boulder,V1,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Start on the underclings and climb the nose.  The boulder at the base is on.,https://www.mountainproject.com/route/108409962/viagra
219,Cheese And Crackers,Boulder,V1,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Climb the arete on small holds.,https://www.mountainproject.com/route/107478437/cheese-and-crackers
220,Cheese And Crackers Sit Start,Boulder,V2,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),"Sit Start to Cheese and Crackers, start on a poor crimp and side pull and bad feet, move up to the stand start holds.",https://www.mountainproject.com/route/107478442/cheese-and-crackers-sit-start
221,Garden Spider Party,Boulder,V2,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Climb the arete starting on slopey holds and top out.,https://www.mountainproject.com/route/107478446/garden-spider-party
222,Rubbin The Nubbin,Boulder,V3,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Climb the overhanging dihedral.,https://www.mountainproject.com/route/108409930/rubbin-the-nubbin
223,Yohimbe,Boulder,V3,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Start under the roof and follow the crack out.,https://www.mountainproject.com/route/108414114/yohimbe
224,Garden Spider Party Sit,Boulder,V3,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),"Sit start to Garden spider party, start on a large crimp and feet close to the dirt.  Move up to the slopers and reach way up to more sloping holds and top out.",https://www.mountainproject.com/route/107478450/garden-spider-party-sit
225,Hugo Long,Boulder,V4,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),A one-move-wonder: dyno from the chalked up start holds of The Plug to the top.,https://www.mountainproject.com/route/108424240/hugo-long
226,Nutmeg,Boulder,V4,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Sit down start in the pit.  Climb small edges to the top.,https://www.mountainproject.com/route/108414085/nutmeg
227,Jungle Boogie V4 Var,Boulder,V4,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Stand start.  Climb the overhanging prow.,https://www.mountainproject.com/route/108414103/jungle-boogie-v4-var
228,Tour Du Bloc,Boulder,V4,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Start on the slab and traverse the boulder. Finish on the plug!,https://www.mountainproject.com/route/107530224/tour-du-bloc
229,The Goose,Boulder,V4-5,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Sit on the boulder to start.  Undercling up to pinches.,https://www.mountainproject.com/route/108414107/the-goose
230,Jungle Boogie,Boulder,V6,40.48792,-75.21974,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Area 51 (uphill side),Sit down start.  Climb the overhanging prow.,https://www.mountainproject.com/route/108414095/jungle-boogie
231,Unnamed V0,Boulder,V0-,40.48726,-75.22081,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Chris' Acres,Climb the short hand crack in the dihedral.,https://www.mountainproject.com/route/108414120/unnamed-v0
232,Unnamed V1,Boulder,V1,40.48726,-75.22081,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Chris' Acres,Sit down start on the right side of the arete.  Climb the arete.,https://www.mountainproject.com/route/108414127/unnamed-v1
233,Unnamed V4,Boulder,V4,40.48726,-75.22081,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Area 51,Chris' Acres,Start at the low jug just right of the tree.  Climb straight up to the slopey top.,https://www.mountainproject.com/route/108414134/unnamed-v4
234,Ninja Squirrel,Boulder,V6,40.48898,-75.21653,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Ninja Squirrel,thin crimps up face - arete is off,https://www.mountainproject.com/route/107996795/ninja-squirrel
235,Cooperazzi,Boulder,V4,40.48832,-75.21844,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Delicate Troll boulder,"Start on the v-shaped slopers in the center of the boulder. Go up and right to a crimp rail, then fire out for the arete.",https://www.mountainproject.com/route/109610176/cooperazzi
236,Cooperazzi Sit,Boulder,V5,40.48832,-75.21844,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Delicate Troll boulder,"While Cooperazzi starts in the center on the obvious v-shaped jug, this variation starts on the left side with a small sloper on the arete for your left hand and the prominent low crimp for your right. Slap up the sloper and then lurch over to the v-shaped jug and then continue into Cooperazzi.",https://www.mountainproject.com/route/111475512/cooperazzi-sit
237,Egg Roll,Boulder,V4,40.48911,-75.21724,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Egg Roll,Starts on an undercling under the roof. Move up and right and then top out. The boulder at the base is on for feet.,https://www.mountainproject.com/route/109588586/egg-roll
238,Light Shag,Boulder,V3,40.48815,-75.21816,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,The Perch,"under overhanging roof start hold is a jug out to lip of roof, onto short face and straight up to top. Same start as Turkish Blend v5",https://www.mountainproject.com/route/107956741/light-shag
239,Turkish Blend,Boulder,V5,40.48815,-75.21816,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,The Perch,"under overhanging roof start hold is a jug out to lip of roof, onto short face via sloper, top out above",https://www.mountainproject.com/route/107956746/turkish-blend
240,Bulgur Hay,Boulder,V6,40.48815,-75.21816,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,The Perch,"So many problems on such a little section of rock! Thats okay, theyre all good!This one starts underneath the small roof on the crack in the back. Starts the same as The Perch. Reach around to the low crimps on the face and head up to the slopers, the same as you would with The Perch. From here, traverse right into Light Shag and finish it up.",https://www.mountainproject.com/route/111479562/bulgur-hay
241,The Perch,Boulder,V9,40.48815,-75.21816,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,The Perch,"SDS in the crack on the left side underneath the roof. Reach around the small roof to a crimp at the lip. Continue upward to slopers. From here, head up and left to a good flake. Top out above.",https://www.mountainproject.com/route/109588582/the-perch
242,Throwing Oranges,Boulder,V2-3,40.48941,-75.21678,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Throwing Oranges at the Eskimos,"Sit start from left facing flake, up face, past sloping dish",https://www.mountainproject.com/route/107956724/throwing-oranges
243,Ulu Traverse,Boulder,V0,40.48929,-75.21671,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Nightmare Arete,Variation of Ulu (VB). Start on right of the wall with the Ulu crack and traverse left until you reach the crack. Finish on Ulu.Beta Vid (starts a few moves in),https://www.mountainproject.com/route/117067635/ulu-traverse
244,Bad Dream,Boulder,V4,40.48929,-75.21671,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Nightmare Arete,Climb the beautiful face and arete with thought provoking and technical movement. This one will keep you on your toes.,https://www.mountainproject.com/route/120165863/bad-dream
245,Jesus Calls For War Aka Nightmare Arete,Boulder,V7,40.48929,-75.21671,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Nightmare Arete,overhanging arete,https://www.mountainproject.com/route/107956734/jesus-calls-for-war-aka-nightmare-arete
246,Bootleg,Boulder,V10-,40.48836,-75.21763,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Bootleg,A very tricky and balancy arete problem! SDS on the left side of the arete. Work your way up the arete and top out at the peak.,https://www.mountainproject.com/route/111479461/bootleg
247,Rumble In The Jumble,Boulder,V7,40.48839,-75.21777,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Rumble In The Jumble,Climb down into the pit to start this boulder. Stand start with both hands on obvious start hold down and just left of the right arete. Make some crimpy moves up and left and then dyno out right to the jug crimp(crux). Work your way up and left along the lip of the boulder on small crimps until you can rock over onto the slab(also cruxy). Climb the easy but committing slab for 20ft. to the top of the boulder. A fall from the slab would be horrific and most likely injurious. What a gem!!,https://www.mountainproject.com/route/120141182/rumble-in-the-jumble
248,Sitting Pretty,Boulder,V4,40.48817,-75.21818,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Sitting Pretty,"Start with left hand on the cool, flat, triangular hold on the arete and right hand on the far right edge. The crux is getting established on the boulder and doing the first move up the arete. After that, reach up and right to the pretty, sloping lip. Work your feet up and do a move or two before going for the top. The mantle isn't hard but it is slightly awkward because of the lack of feet. Reachy.",https://www.mountainproject.com/route/120158419/sitting-pretty
249,Acetaminophen,Boulder,V3,40.48815,-75.21815,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Grovelfest,"Inspired by Shadow's efforts!Start left hand on a good edge and right hand on a flaky side pull on the arete/crack. Use a high left foot smear and establish on the boulder. Using the arete/crack and crimps on the face, climb the slab. Everything right of the crack is off.",https://www.mountainproject.com/route/120193407/acetaminophen
250,Cody Layback,Boulder,V4,40.48815,-75.21815,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Grovelfest,Start with left hand on the arete and right hand underclinging the low lip. Climb the rounded boulder using the arete and crimps on the face until you can reach out right to the long incut crimp jug. Get your right foot up on the crimp jug and top out. The rock left of the arete/crack is off.,https://www.mountainproject.com/route/120181317/cody-layback
251,Alien Face,Boulder,V4,40.48815,-75.21815,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Grovelfest,SDS on the massive jug. Do a long move to crimps on the lip of the boulder. Top out.,https://www.mountainproject.com/route/120236754/alien-face
252,Et Phone Home,Boulder,V5,40.48815,-75.21815,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Grovelfest,"Start with right hand on the big, flat sidepull and left hand on any of the small, sharp crimps you choose. Figure out how to pull onto the boulder with terrible feet and make one hard move to the long crimp jug. Top out.",https://www.mountainproject.com/route/120237178/et-phone-home
253,I Call Shotgun,Boulder,V5,40.48815,-75.21815,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Grovelfest,Start with both hands in the seam and pull onto the boulder with terrible feet. Bust to the pancake slopers and drift out left to easier moves before topping out.,https://www.mountainproject.com/route/120237193/i-call-shotgun
254,Grovelfest,Boulder,V6,40.48815,-75.21815,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Grovelfest,Start with a left hand sloper on the lip of the boulder and a right hand crimp. Pull onto the boulder and do a move out left to a dishy crimp. Reach up right hand to a good high crimp with a thumb catch. Surmount the top of the boulder with bad feet and a lot of groveling. The name says it all.,https://www.mountainproject.com/route/120165873/grovelfest
255,Air Out Right,Boulder,V2,40.48821,-75.21755,Pennsylvania,Southeastern Lowlands,Haycock Mountain (Nockamixon),Gateway,Air Out,Climb the right arete with a tricky start and a fun mantle in the middle of the problem on the protruding jug.,https://www.mountainproject.com/route/120165903/air-out-right
